epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3080.13,0.66521,0.47298,0.97722,0.96928,0.9218,0.96545,0.84875,0.5994,0.32961,0.86639,3.65428e-05,3.65428e-05,3.65428e-05
86,3114.93,0.65803,0.46986,0.97388,0.96799,0.92879,0.96576,0.85125,0.59209,0.32463,0.86349,3.43945e-05,3.43945e-05,3.43945e-05
87,3150.35,0.66871,0.4701,0.97319,0.9711,0.92626,0.96618,0.85444,0.58724,0.32071,0.86102,3.22462e-05,3.22462e-05,3.22462e-05
88,3185.67,0.65634,0.4642,0.97077,0.96496,0.93403,0.96648,0.85464,0.58735,0.32072,0.85993,3.00979e-05,3.00979e-05,3.00979e-05
89,3220.99,0.66912,0.45497,0.96843,0.97423,0.92711,0.96646,0.85448,0.58821,0.32168,0.85949,2.79496e-05,2.79496e-05,2.79496e-05
90,3255.43,0.65001,0.45622,0.96889,0.97164,0.9277,0.96675,0.85695,0.57954,0.31717,0.85736,2.58013e-05,2.58013e-05,2.58013e-05
91,3300.83,0.66327,0.42426,0.94413,0.96423,0.92744,0.96557,0.85036,0.59304,0.32806,0.86249,2.3653e-05,2.3653e-05,2.3653e-05
92,3335.84,0.63143,0.37965,0.92544,0.97138,0.92137,0.96569,0.85052,0.59222,0.3267,0.86102,2.15047e-05,2.15047e-05,2.15047e-05
93,3370.28,0.61275,0.36339,0.91994,0.9736,0.92175,0.96541,0.85071,0.58863,0.3235,0.85743,1.93564e-05,1.93564e-05,1.93564e-05
94,3404.54,0.60938,0.36168,0.91535,0.96553,0.92989,0.96636,0.85354,0.58349,0.32007,0.85456,1.72081e-05,1.72081e-05,1.72081e-05
95,3438.97,0.60053,0.35433,0.91306,0.96938,0.93194,0.96609,0.85561,0.57829,0.31646,0.85236,1.50598e-05,1.50598e-05,1.50598e-05
96,3473,0.6028,0.35452,0.91127,0.97075,0.93014,0.96701,0.85634,0.5746,0.31563,0.85073,1.29115e-05,1.29115e-05,1.29115e-05
97,3507.39,0.59559,0.34945,0.91177,0.96974,0.92959,0.96674,0.85726,0.57415,0.3151,0.85087,1.07632e-05,1.07632e-05,1.07632e-05
98,3541.96,0.59734,0.348,0.90942,0.97098,0.93146,0.96788,0.85828,0.57159,0.3124,0.84987,8.6149e-06,8.6149e-06,8.6149e-06
99,3576.86,0.59163,0.34455,0.90736,0.96803,0.9346,0.96759,0.85906,0.56741,0.30988,0.84867,6.4666e-06,6.4666e-06,6.4666e-06
100,3611.67,0.58522,0.34054,0.90482,0.97002,0.93337,0.96731,0.85949,0.5645,0.30831,0.84766,4.3183e-06,4.3183e-06,4.3183e-06
